datetime,business date,date,time,open,high,low,close,volume
2025-04-17 11:12:00,2025-04-17,2025-04-17,11:12:00,21314.51,21314.51,21307.56,21311.74,24103222
2025-04-17 11:13:00,2025-04-17,2025-04-17,11:13:00,21311.85,21326.06,21310.03,21323.9,28805093
2025-04-17 11:14:00,2025-04-17,2025-04-17,11:14:00,21322.55,21339.52,21320.73,21333.77,27710477
2025-04-17 11:15:00,2025-04-17,2025-04-17,11:15:00,21333.82,21338.56,21330.25,21333.84,25069695
2025-04-17 11:16:00,2025-04-17,2025-04-17,11:16:00,21327.31,21338.58,21323.17,21331.97,28218107
2025-04-17 11:17:00,2025-04-17,2025-04-17,11:17:00,21332.82,21336.04,21328.27,21330.79,22760021
2025-04-17 11:18:00,2025-04-17,2025-04-17,11:18:00,21331.3,21335.61,21324.33,21335.61,18309670
2025-04-17 11:19:00,2025-04-17,2025-04-17,11:19:00,21334.36,21352.37,21334.36,21352.37,26474921
2025-04-17 11:20:00,2025-04-17,2025-04-17,11:20:00,21351.47,21355.91,21345.99,21347.64,25479377
2025-04-17 11:21:00,2025-04-17,2025-04-17,11:21:00,21336.5,21346.71,21336.5,21345.24,25708741
2025-04-17 11:22:00,2025-04-17,2025-04-17,11:22:00,21344.55,21348.15,21340.07,21342.56,22836268
2025-04-17 11:23:00,2025-04-17,2025-04-17,11:23:00,21341.57,21355.35,21341.42,21352.47,24593831
2025-04-17 11:24:00,2025-04-17,2025-04-17,11:24:00,21350.46,21366.52,21348.61,21362.58,31256430
2025-04-17 11:25:00,2025-04-17,2025-04-17,11:25:00,21365.56,21366.42,21351.79,21356.86,25627880
2025-04-17 11:26:00,2025-04-17,2025-04-17,11:26:00,21350.08,21370.71,21350.08,21368.4,26535038
2025-04-17 11:27:00,2025-04-17,2025-04-17,11:27:00,21366.38,21393.96,21366.38,21393.96,35155928
2025-04-17 11:28:00,2025-04-17,2025-04-17,11:28:00,21392.72,21411.44,21391.79,21411.44,43056566
2025-04-17 11:29:00,2025-04-17,2025-04-17,11:29:00,21413.5,21417.64,21405.97,21408.06,54464656
2025-04-17 11:30:00,2025-04-17,2025-04-17,11:30:00,21410.75,21413.56,21399.36,21403.12,34457573
2025-04-17 11:31:00,2025-04-17,2025-04-17,11:31:00,21391.02,21396.27,21381.49,21381.49,31715579
2025-04-17 11:32:00,2025-04-17,2025-04-17,11:32:00,21380.73,21382.49,21371.01,21373.83,28421057
2025-04-17 11:33:00,2025-04-17,2025-04-17,11:33:00,21374.15,21381.31,21366.53,21368.23,18397593
2025-04-17 11:34:00,2025-04-17,2025-04-17,11:34:00,21366.99,21380.31,21366.99,21380.31,20942370
2025-04-17 11:35:00,2025-04-17,2025-04-17,11:35:00,21379.99,21381.02,21372.25,21373.82,14699084
2025-04-17 11:36:00,2025-04-17,2025-04-17,11:36:00,21365.08,21371.01,21362.16,21362.25,16914722
2025-04-17 11:37:00,2025-04-17,2025-04-17,11:37:00,21361.75,21362.95,21351.14,21352.83,21859238
2025-04-17 11:38:00,2025-04-17,2025-04-17,11:38:00,21351.66,21352.61,21344.99,21351.22,17639414
2025-04-17 11:39:00,2025-04-17,2025-04-17,11:39:00,21352.79,21352.79,21347.17,21352.21,13415295
2025-04-17 11:40:00,2025-04-17,2025-04-17,11:40:00,21349.9,21357.08,21347.44,21354.3,13997599
2025-04-17 11:41:00,2025-04-17,2025-04-17,11:41:00,21347.86,21357.06,21347.86,21355.31,11047699
2025-04-17 11:42:00,2025-04-17,2025-04-17,11:42:00,21354.23,21367.41,21354.23,21360.12,25703384
2025-04-17 11:43:00,2025-04-17,2025-04-17,11:43:00,21361.35,21363.94,21353.76,21363.94,21168479
2025-04-17 11:44:00,2025-04-17,2025-04-17,11:44:00,21360.32,21364.69,21359.55,21360.44,22426385
2025-04-17 11:45:00,2025-04-17,2025-04-17,11:45:00,21358.04,21368.21,21354.62,21365.72,12416607
2025-04-17 11:46:00,2025-04-17,2025-04-17,11:46:00,21359.47,21380.93,21359.47,21380.28,18968491
2025-04-17 11:47:00,2025-04-17,2025-04-17,11:47:00,21382.23,21384.98,21379.14,21383.27,14790439
2025-04-17 11:48:00,2025-04-17,2025-04-17,11:48:00,21382.38,21386.91,21379.34,21385.63,13241750
2025-04-17 11:49:00,2025-04-17,2025-04-17,11:49:00,21388.46,21392.8,21384.48,21392.8,12637313
2025-04-17 11:50:00,2025-04-17,2025-04-17,11:50:00,21392.65,21394.27,21384.57,21384.57,17513373
2025-04-17 11:51:00,2025-04-17,2025-04-17,11:51:00,21375.73,21390.3,21375.73,21384.46,16853610
2025-04-17 11:52:00,2025-04-17,2025-04-17,11:52:00,21385.88,21398.55,21385.88,21394.3,15493472
2025-04-17 11:53:00,2025-04-17,2025-04-17,11:53:00,21394.33,21405.07,21393.44,21400.11,16017867
2025-04-17 11:54:00,2025-04-17,2025-04-17,11:54:00,21401.36,21406.35,21397.63,21406.35,15767131
2025-04-17 11:55:00,2025-04-17,2025-04-17,11:55:00,21405.71,21406.65,21398.58,21398.58,13513155
2025-04-17 11:56:00,2025-04-17,2025-04-17,11:56:00,21395.06,21409.3,21395.06,21404.44,17676440
2025-04-17 11:57:00,2025-04-17,2025-04-17,11:57:00,21404.32,21414.17,21404.32,21413.06,13809702
2025-04-17 11:58:00,2025-04-17,2025-04-17,11:58:00,21412.01,21416.86,21407.91,21415.59,13756512
2025-04-17 11:59:00,2025-04-17,2025-04-17,11:59:00,21415.88,21416.54,21405.65,21405.88,16262728
2025-04-17 12:00:00,2025-04-17,2025-04-17,12:00:00,21406.97,21412.23,21398.89,21398.89,13811546
2025-04-17 13:01:00,2025-04-17,2025-04-17,13:01:00,21398.89,21401.77,21375.82,21383.46,107597863
2025-04-17 13:02:00,2025-04-17,2025-04-17,13:02:00,21383.82,21392.97,21376.14,21377.66,34051365
2025-04-17 13:03:00,2025-04-17,2025-04-17,13:03:00,21381.52,21391.88,21369.99,21390.48,31745885
2025-04-17 13:04:00,2025-04-17,2025-04-17,13:04:00,21392.06,21398.78,21389.27,21393.19,35882242
2025-04-17 13:05:00,2025-04-17,2025-04-17,13:05:00,21394.55,21399.85,21385.46,21387.66,31109294
2025-04-17 13:06:00,2025-04-17,2025-04-17,13:06:00,21378.52,21382.24,21369.62,21369.81,38166513
2025-04-17 13:07:00,2025-04-17,2025-04-17,13:07:00,21366.82,21371.88,21362.56,21363.5,36811830
2025-04-17 13:08:00,2025-04-17,2025-04-17,13:08:00,21363.9,21377.14,21363.9,21377.14,33661533
2025-04-17 13:09:00,2025-04-17,2025-04-17,13:09:00,21376.55,21389.4,21374.36,21380.57,35587599
2025-04-17 13:10:00,2025-04-17,2025-04-17,13:10:00,21382.28,21382.28,21343.0,21343.85,47471308
2025-04-17 13:11:00,2025-04-17,2025-04-17,13:11:00,21335.81,21338.84,21317.73,21325.11,48443073
2025-04-17 13:12:00,2025-04-17,2025-04-17,13:12:00,21325.36,21330.17,21315.56,21315.56,36903887
2025-04-17 13:13:00,2025-04-17,2025-04-17,13:13:00,21316.86,21316.86,21308.32,21313.62,54673291
2025-04-17 13:14:00,2025-04-17,2025-04-17,13:14:00,21322.82,21323.97,21316.7,21317.24,24785726
2025-04-17 13:15:00,2025-04-17,2025-04-17,13:15:00,21319.21,21330.69,21310.29,21328.21,35671209
2025-04-17 13:16:00,2025-04-17,2025-04-17,13:16:00,21319.44,21344.18,21319.44,21344.07,37790112
2025-04-17 13:17:00,2025-04-17,2025-04-17,13:17:00,21344.2,21353.35,21344.11,21349.45,28664369
2025-04-17 13:18:00,2025-04-17,2025-04-17,13:18:00,21348.52,21349.41,21336.92,21337.75,26959064
2025-04-17 13:19:00,2025-04-17,2025-04-17,13:19:00,21332.91,21343.79,21332.91,21336.74,58624961
2025-04-17 13:20:00,2025-04-17,2025-04-17,13:20:00,21337.1,21349.4,21334.98,21349.07,25080526
2025-04-17 13:21:00,2025-04-17,2025-04-17,13:21:00,21336.84,21351.57,21336.84,21349.78,29049041
2025-04-17 13:22:00,2025-04-17,2025-04-17,13:22:00,21344.1,21345.71,21333.4,21341.52,23457094
2025-04-17 13:23:00,2025-04-17,2025-04-17,13:23:00,21340.4,21351.93,21339.12,21349.83,18180494
2025-04-17 13:24:00,2025-04-17,2025-04-17,13:24:00,21349.63,21349.67,21340.75,21344.1,27690329
2025-04-17 13:25:00,2025-04-17,2025-04-17,13:25:00,21344.57,21344.57,21317.17,21318.92,37402889
2025-04-17 13:26:00,2025-04-17,2025-04-17,13:26:00,21307.4,21311.15,21303.76,21305.09,26590887
2025-04-17 13:27:00,2025-04-17,2025-04-17,13:27:00,21309.75,21330.08,21309.11,21327.08,36954568
2025-04-17 13:28:00,2025-04-17,2025-04-17,13:28:00,21326.29,21337.5,21326.29,21332.06,16361544
2025-04-17 13:29:00,2025-04-17,2025-04-17,13:29:00,21333.26,21337.04,21329.85,21332.02,20214002
2025-04-17 13:30:00,2025-04-17,2025-04-17,13:30:00,21330.22,21342.36,21328.34,21337.43,24041461
2025-04-17 13:31:00,2025-04-17,2025-04-17,13:31:00,21330.1,21356.2,21330.1,21353.95,30869787
2025-04-17 13:32:00,2025-04-17,2025-04-17,13:32:00,21349.44,21364.8,21349.44,21362.24,28264024
2025-04-17 13:33:00,2025-04-17,2025-04-17,13:33:00,21362.0,21362.0,21332.87,21332.87,20863347
2025-04-17 13:34:00,2025-04-17,2025-04-17,13:34:00,21333.56,21333.56,21318.45,21320.11,29497557
2025-04-17 13:35:00,2025-04-17,2025-04-17,13:35:00,21319.83,21323.49,21315.32,21315.32,18397880
2025-04-17 13:36:00,2025-04-17,2025-04-17,13:36:00,21308.7,21310.85,21305.38,21309.58,35030111
2025-04-17 13:37:00,2025-04-17,2025-04-17,13:37:00,21310.04,21321.39,21310.04,21320.74,31106591
2025-04-17 13:38:00,2025-04-17,2025-04-17,13:38:00,21316.65,21328.56,21316.53,21324.55,44562201
2025-04-17 13:39:00,2025-04-17,2025-04-17,13:39:00,21328.18,21334.42,21325.84,21332.89,23236037
2025-04-17 13:40:00,2025-04-17,2025-04-17,13:40:00,21332.07,21336.74,21330.9,21332.19,30002076
2025-04-17 13:41:00,2025-04-17,2025-04-17,13:41:00,21326.39,21335.55,21326.39,21332.96,20936996
2025-04-17 13:42:00,2025-04-17,2025-04-17,13:42:00,21331.13,21345.56,21330.4,21344.52,27542532
2025-04-17 13:43:00,2025-04-17,2025-04-17,13:43:00,21347.02,21348.62,21341.16,21344.95,20280898
2025-04-17 13:44:00,2025-04-17,2025-04-17,13:44:00,21345.04,21347.15,21336.14,21337.4,27316575
2025-04-17 13:45:00,2025-04-17,2025-04-17,13:45:00,21336.76,21342.65,21335.49,21338.1,22034684
2025-04-17 13:46:00,2025-04-17,2025-04-17,13:46:00,21330.74,21348.08,21330.74,21348.08,23210138
2025-04-17 13:47:00,2025-04-17,2025-04-17,13:47:00,21347.57,21347.57,21336.45,21341.99,27779190
2025-04-17 13:48:00,2025-04-17,2025-04-17,13:48:00,21342.67,21343.68,21331.93,21334.59,19750770
2025-04-17 13:49:00,2025-04-17,2025-04-17,13:49:00,21332.33,21332.33,21320.77,21324.42,28071867
2025-04-17 13:50:00,2025-04-17,2025-04-17,13:50:00,21321.21,21340.84,21321.18,21338.21,23759425
2025-04-17 13:51:00,2025-04-17,2025-04-17,13:51:00,21326.81,21335.95,21326.81,21328.98,20467775
2025-04-17 13:52:00,2025-04-17,2025-04-17,13:52:00,21327.17,21332.1,21325.67,21330.37,31314260
2025-04-17 13:53:00,2025-04-17,2025-04-17,13:53:00,21330.06,21334.45,21328.83,21332.09,30757757
2025-04-17 13:54:00,2025-04-17,2025-04-17,13:54:00,21329.49,21329.49,21313.74,21318.48,24288053
2025-04-17 13:55:00,2025-04-17,2025-04-17,13:55:00,21317.42,21324.87,21317.42,21323.02,21043063
2025-04-17 13:56:00,2025-04-17,2025-04-17,13:56:00,21314.47,21325.14,21314.47,21323.93,31669184
2025-04-17 13:57:00,2025-04-17,2025-04-17,13:57:00,21323.2,21324.24,21312.87,21313.83,18267234
2025-04-17 13:58:00,2025-04-17,2025-04-17,13:58:00,21312.43,21313.31,21302.59,21305.73,20140919
2025-04-17 13:59:00,2025-04-17,2025-04-17,13:59:00,21303.99,21310.44,21302.96,21303.0,19899375
2025-04-17 14:00:00,2025-04-17,2025-04-17,14:00:00,21302.71,21309.68,21301.11,21306.79,22405886
2025-04-17 14:01:00,2025-04-17,2025-04-17,14:01:00,21298.56,21309.51,21298.56,21307.72,22398164
2025-04-17 14:02:00,2025-04-17,2025-04-17,14:02:00,21307.93,21308.98,21286.03,21286.7,32640942
2025-04-17 14:03:00,2025-04-17,2025-04-17,14:03:00,21290.04,21290.04,21281.06,21281.06,23791094
2025-04-17 14:04:00,2025-04-17,2025-04-17,14:04:00,21279.65,21285.54,21277.01,21278.67,24751160
2025-04-17 14:05:00,2025-04-17,2025-04-17,14:05:00,21280.58,21280.58,21269.46,21276.7,22157069
